id,date,election_phase,way_of_voting,voting_intention,party,city_id,city,county_id,county_desc,city_id2,city_id3
9050472,11/06/2012,11/06/2012 GENERAL,IN-PERSON,REP,REPUBLICAN,07,ALBRIGHT,1,ALAMANCE,07,07
166154469,11/08/2016,11/08/2016 GENERAL,ABSENTEE ONESTOP,UNA,UNAFFILIATED,CC10,CROSS CREEK 10,26,CUMBERLAND,CC10,CC10
187643,03/15/2016,03/15/2016 PRIMARY,IN-PERSON,DEM,DEMOCRATIC,18,HEALING SPRINGS #18,29,DAVIDSON,18,18
1456476,11/06/2012,11/06/2012 GENERAL,IN-PERSON,REP,REPUBLICAN,05,TOWNCREEK,10,BRUNSWICK,05,05
3048275,11/06/2012,11/06/2012 GENERAL,ABSENTEE ONESTOP,DEM,DEMOCRATIC,42,LUCIA,36,GASTON,42,42
166012337,11/04/2008,11/04/2008 GENERAL,ABSENTEE ONESTOP,DEM,DEMOCRATIC,CC21,CROSS CREEK #21,26,CUMBERLAND,CC21,CC21
134142,11/06/2012,11/06/2012 GENERAL,ABSENTEE ONESTOP,DEM,DEMOCRATIC,55.1,55.1,11,BUNCOMBE,55.1,55.1
538531,05/06/2008,05/06/2008 PRIMARY,IN-PERSON,DEM,DEMOCRATIC,44,44,32,DURHAM,44,44
10022265,11/06/2012,11/06/2012 GENERAL,IN-PERSON,UNA,UNAFFILIATED,G72,G72,41,GUILFORD,G72,G72
30156027,11/02/2010,11/02/2010 GENERAL,IN-PERSON,REP,REPUBLICAN,46,46,32,DURHAM,46,46
738780,11/04/2008,11/04/2008 GENERAL,ABSENTEE ONESTOP,UNA,UNAFFILIATED,KDH,KILL DEVIL HILLS,28,DARE,KDH,KDH
608441,11/04/2008,11/04/2008 GENERAL,ABSENTEE ONESTOP,DEM,DEMOCRATIC,G07,G07,41,GUILFORD,G07,G07
241512,11/04/2008,11/04/2008 GENERAL,ABSENTEE ONESTOP,REP,REPUBLICAN,58.1,NORTH BUNCOMBE,11,BUNCOMBE,58.1,58.1
30145573,11/08/2011,11/08/2011 MUNICIPAL ELECTION,IN-PERSON,UNA,UNAFFILIATED,25,25,32,DURHAM,25,25
10007857,11/04/2008,11/04/2008 GENERAL,ABSENTEE ONESTOP,DEM,DEMOCRATIC,G10,G10,41,GUILFORD,G10,G10
16952,11/06/2012,11/06/2012 GENERAL,ABSENTEE ONESTOP,UNA,UNAFFILIATED,E,ELLENDALE,2,ALEXANDER,E,E
7652114,11/08/2016,11/08/2016 GENERAL,ABSENTEE ONESTOP,REP,REPUBLICAN,15,ROBINSON #1,36,GASTON,15,15
10195325,11/02/2010,11/02/2010 GENERAL,IN-PERSON,REP,REPUBLICAN,708,708,34,FORSYTH,708,708
7678429,05/08/2012,05/08/2012 PRIMARY,IN-PERSON,REP,REPUBLICAN,29,NEW HOPE,36,GASTON,29,29
625589,11/06/2012,11/06/2012 GENERAL,ABSENTEE BY MAIL,REP,REPUBLICAN,32,32,32,DURHAM,32,32
9069723,11/08/2016,11/08/2016 GENERAL,ABSENTEE ONESTOP,UNA,UNAFFILIATED,09S,SOUTH THOMPSON,1,ALAMANCE,09S,09S
232396,05/06/2008,05/06/2008 PRIMARY,IN-PERSON,REP,REPUBLICAN,IH,IVY HILL,44,HAYWOOD,IH,IH
703252,11/04/2008,11/04/2008 GENERAL,ABSENTEE ONESTOP,DEM,DEMOCRATIC,26,26,32,DURHAM,26,26
30239932,11/08/2016,11/08/2016 GENERAL,ABSENTEE ONESTOP,UNA,UNAFFILIATED,24,24,32,DURHAM,24,24
14484341,11/06/2012,11/06/2012 GENERAL,IN-PERSON,DEM,DEMOCRATIC,PR13,LITTLE RIVER,14,CALDWELL,PR13,PR13
9618200,11/02/2010,11/02/2010 GENERAL,IN-PERSON,DEM,DEMOCRATIC,CS,COOL SPRINGS,49,IREDELL,CS,CS
9828542,11/04/2014,11/04/2014 GENERAL,IN-PERSON,REP,REPUBLICAN,UG,UNION GROVE,49,IREDELL,UG,UG
30098473,11/06/2012,11/06/2012 GENERAL,ABSENTEE ONESTOP,REP,REPUBLICAN,04-08,04-08,13,CABARRUS,04-08,04-08
166092324,11/04/2014,11/04/2014 GENERAL,IN-PERSON,DEM,DEMOCRATIC,G5C,BRENTWOOD-G5,26,CUMBERLAND,G5,G5
349818,11/02/2010,11/02/2010 GENERAL,IN-PERSON,REP,REPUBLICAN,52.1,52.1,11,BUNCOMBE,52.1,52.1
10103126,11/04/2008,11/04/2008 GENERAL,IN-PERSON,DEM,DEMOCRATIC,112,112,34,FORSYTH,112,112
9138590,11/06/2012,11/06/2012 GENERAL,IN-PERSON,UNA,UNAFFILIATED,035,BOONE 5,1,ALAMANCE,035,035
1023886,11/04/2008,11/04/2008 GENERAL,ABSENTEE ONESTOP,REP,REPUBLICAN,OAKGRV,OAK GROVE,23,CLEVELAND,OAKGR,OAKGRV
271116,05/06/2008,05/06/2008 PRIMARY,IN-PERSON,REP,REPUBLICAN,18.2,18.2,11,BUNCOMBE,101.1,101.1
30139636,11/08/2016,11/08/2016 GENERAL,ABSENTEE CURBSIDE,UNA,UNAFFILIATED,02-03,02-03,13,CABARRUS,02-03,02-03
256164,03/15/2016,03/15/2016 PRIMARY,ABSENTEE ONESTOP,DEM,DEMOCRATIC,JC,JONATHAN CREEK,44,HAYWOOD,JC,JC
7599154,05/06/2008,05/06/2008 PRIMARY,ABSENTEE ONESTOP,DEM,DEMOCRATIC,25,BELMONT #3,36,GASTON,25,25
438286,11/08/2016,11/08/2016 GENERAL,IN-PERSON,UNA,UNAFFILIATED,39.2,39.2,11,BUNCOMBE,39.1,39.1
600030043,11/05/2013,11/05/2013 MUNICIPAL,IN-PERSON,UNA,UNAFFILIATED,16,SHINGLETREE 1,10,BRUNSWICK,16,16
113480,11/06/2012,11/06/2012 GENERAL,ABSENTEE ONESTOP,DEM,DEMOCRATIC,30.3,30.3,11,BUNCOMBE,30.1,30.1
9817483,11/06/2012,11/06/2012 GENERAL,ABSENTEE ONESTOP,DEM,DEMOCRATIC,MON2A,MON2A,41,GUILFORD,MON2,MON2
3443250,11/04/2014,11/04/2014 GENERAL,ABSENTEE ONESTOP,REP,REPUBLICAN,46,MOUNT HOLLY #2,36,GASTON,46,46
30009527,11/08/2016,11/08/2016 GENERAL,ABSENTEE ONESTOP,DEM,DEMOCRATIC,ROCK,ROCKFISH,31,DUPLIN,ROCK,ROCK
10152211,11/08/2016,11/08/2016 GENERAL,ABSENTEE ONESTOP,DEM,DEMOCRATIC,G24,G24,41,GUILFORD,G24,G24
9838139,03/15/2016,03/15/2016 PRIMARY,IN-PERSON,REP,REPUBLICAN,BE,BETHANY,49,IREDELL,BE,BE
66057570,11/04/2008,11/04/2008 GENERAL,IN-PERSON,UNA,UNAFFILIATED,G3A,PEARCES MILL #2-G3,26,CUMBERLAND,G3,G3
10054259,11/06/2012,11/06/2012 GENERAL,IN-PERSON,REP,REPUBLICAN,G38,G38,41,GUILFORD,G38,G38
9053274,11/08/2016,11/08/2016 GENERAL,ABSENTEE ONESTOP,UNA,UNAFFILIATED,16,HIGHLAND,18,CATAWBA,16,16
305973,05/08/2012,05/08/2012 PRIMARY,IN-PERSON,UNA,UNAFFILIATED,42.1,42.1,11,BUNCOMBE,105.1,105.1
30111326,11/08/2016,11/08/2016 GENERAL,ABSENTEE ONESTOP,DEM,DEMOCRATIC,04-02,04-02,13,CABARRUS,04-02,04-02
10100886,11/06/2012,11/06/2012 GENERAL,ABSENTEE ONESTOP,DEM,DEMOCRATIC,G72,G72,41,GUILFORD,G72,G72
66008480,11/04/2008,11/04/2008 GENERAL,ABSENTEE ONESTOP,UNA,UNAFFILIATED,G3C,PEARCES MILL #3-G3,26,CUMBERLAND,G3,G3
428217,11/08/2016,11/08/2016 GENERAL,ABSENTEE ONESTOP,DEM,DEMOCRATIC,68.1,68.1,11,BUNCOMBE,68.1,68.1
33337,11/08/2016,11/08/2016 GENERAL,ABSENTEE ONESTOP,REP,REPUBLICAN,16,PINE SWAMP,5,ASHE,16,16
2651850,11/04/2008,11/04/2008 GENERAL,ABSENTEE ONESTOP,DEM,DEMOCRATIC,15,ROBINSON #1,36,GASTON,15,15
9822918,11/06/2012,11/06/2012 GENERAL,IN-PERSON,UNA,UNAFFILIATED,DV1-B,DAVIDSON #1-B,49,IREDELL,DV1-B,DV1-B
33826,03/15/2016,03/15/2016 PRIMARY,ABSENTEE ONESTOP,REP,REPUBLICAN,LILE,LILESVILLE,4,ANSON,LILE,LILE
9708397,11/08/2016,11/08/2016 GENERAL,IN-PERSON,UNA,UNAFFILIATED,G30,G30,41,GUILFORD,G30,G30
600032290,11/04/2008,11/04/2008 GENERAL,ABSENTEE ONESTOP,UNA,UNAFFILIATED,PR28,NORTHWEST HARNETT,43,HARNETT,PR28,PR28
166026680,11/04/2008,11/04/2008 GENERAL,ABSENTEE ONESTOP,DEM,DEMOCRATIC,MB62,MONTIBELLO,26,CUMBERLAND,MB62,MB62
2867855,05/06/2008,05/06/2008 PRIMARY,IN-PERSON,REP,REPUBLICAN,10,SHERWOOD,36,GASTON,10,10
9838274,11/07/2017,11/07/2017 MUNICIPAL/GENERAL,IN-PERSON,DEM,DEMOCRATIC,CC4,CODDLE CREEK #4,49,IREDELL,CC4,CC4
161713,11/04/2008,11/04/2008 GENERAL,ABSENTEE ONESTOP,REP,REPUBLICAN,G16,G16,41,GUILFORD,G16,G16
5657900,11/04/2008,11/04/2008 GENERAL,IN-PERSON,DEM,DEMOCRATIC,CC2,CODDLE CREEK #2,49,IREDELL,CC2,CC2
7530502,11/06/2012,11/06/2012 GENERAL,ABSENTEE ONESTOP,DEM,DEMOCRATIC,07,HIGHLAND,36,GASTON,07,07
